step,datetime,action,watts_on,current_temp_c,ambient_temp_c,current_spot_price_eur_kwh,heating_rate_k_per_step,cooling_coefficient,predicted_next_temp_c,predicted_cost_eur,fcr_revenue_eur,fcr_d_down_price_eur,fcr_d_up_price_eur
0,2025-10-16T12:37:23.604657,ON,446.5,20.062000000000012,0,0.08331,0,0,-273.15,0.00929947875,0,0,0
1,2025-10-16T12:52:25.792665,ON,439.0,20.375,0,0.08331,0,0,-273.15,0.0091432725,0,0,0
2,2025-10-16T13:07:30.174017,ON,437.2,20.937000000000012,0,0.08139,0,0,-273.15,0.008895927,0,0,0
3,2025-10-16T13:22:31.294336,OFF,0.0,21.312000000000012,0,0.08139,0,0,-273.15,0.0,0,0,0
4,2025-10-16T13:37:32.440835,OFF,0.0,21.062000000000012,0,0.08139,0,0,-273.15,0.0,0,0,0
5,2025-10-16T13:52:34.615076,ON,94.2,20.875,0,0.08139,0,0,-273.15,0.0019167345000000002,0,0,0
6,2025-10-16T14:07:35.927009,OFF,0.0,21.5,0,0.08289,0,0,-273.15,0.0,0,0,0
7,2025-10-16T14:22:37.050417,OFF,0.0,21.437000000000012,0,0.08289,0,0,-273.15,0.0,0,0,0
8,2025-10-16T14:37:38.177496,OFF,0.0,21.312000000000012,0,0.08289,0,0,-273.15,0.0,0,0,0
9,2025-10-16T14:52:39.301228,OFF,0.0,21.312000000000012,0,0.08289,0,0,-273.15,0.0,0,0,0
10,2025-10-16T15:07:40.452270,OFF,0.0,21.437000000000012,0,0.08297,0,0,-273.15,0.0,0,0,0
11,2025-10-16T15:22:41.571970,OFF,0.0,21.562000000000012,0,0.08297,0,0,-273.15,0.0,0,0,0
12,2025-10-16T15:37:42.701994,OFF,0.0,21.562000000000012,0,0.08297,0,0,-273.15,0.0,0,0,0
13,2025-10-16T15:52:43.816896,OFF,0.0,21.5,0,0.08297,0,0,-273.15,0.0,0,0,0
14,2025-10-16T16:07:44.948619,OFF,0.0,21.5,0,0.08868,0,0,-273.15,0.0,0,0,0
15,2025-10-16T16:22:46.804758,OFF,0.0,21.5,0,0.08868,0,0,-273.15,0.0,0,0,0
16,2025-10-16T16:37:48.025410,OFF,0.0,21.5,0,0.08868,0,0,-273.15,0.0,0,0,0
17,2025-10-16T16:52:49.171224,OFF,0.0,21.437000000000012,0,0.08868,0,0,-273.15,0.0,0,0,0
18,2025-10-16T17:07:50.317408,OFF,0.0,21.312000000000012,0,0.11918,0,0,-273.15,0.0,0,0,0
19,2025-10-16T17:22:51.435717,OFF,0.0,21.25,0,0.11918,0,0,-273.15,0.0,0,0,0
20,2025-10-16T17:37:52.546462,OFF,0.0,21.062000000000012,0,0.11918,0,0,-273.15,0.0,0,0,0
21,2025-10-16T17:52:53.691554,OFF,0.0,21.062000000000012,0,0.11918,0,0,-273.15,0.0,0,0,0
22,2025-10-16T18:07:55.874738,ON,0.0,20.875,0,0.13215,0,0,-273.15,0.0,0,0,0
23,2025-10-16T18:22:58.644465,OFF,0.0,21.25,0,0.13215,0,0,-273.15,0.0,0,0,0
24,2025-10-16T18:37:59.746017,OFF,0.0,21.25,0,0.13215,0,0,-273.15,0.0,0,0,0
25,2025-10-16T18:53:00.881358,OFF,0.0,21.0,0,0.13215,0,0,-273.15,0.0,0,0,0
26,2025-10-16T19:08:04.469189,ON,434.2,20.75,0,0.14063,0,0,-273.15,0.0152653865,0,0,0
27,2025-10-16T19:23:05.664340,OFF,0.0,21.0,0,0.14063,0,0,-273.15,0.0,0,0,0
28,2025-10-16T19:38:06.756935,OFF,0.0,21.0,0,0.14063,0,0,-273.15,0.0,0,0,0
29,2025-10-16T19:53:08.909582,ON,0.0,20.75,0,0.14063,0,0,-273.15,0.0,0,0,0
30,2025-10-16T20:08:11.463951,ON,434.3,20.875,0,0.12563,0,0,-273.15,0.01364027725,0,0,0
31,2025-10-16T20:23:12.593477,OFF,0.0,21.187000000000012,0,0.12563,0,0,-273.15,0.0,0,0,0
32,2025-10-16T20:38:13.707927,OFF,0.0,21.0,0,0.12563,0,0,-273.15,0.0,0,0,0
33,2025-10-16T20:53:15.897619,ON,0.0,20.687000000000012,0,0.12563,0,0,-273.15,0.0,0,0,0
34,2025-10-16T21:08:19.962098,ON,441.7,20.812000000000012,0,0.10206,0,0,-273.15,0.0112699755,0,0,0
35,2025-10-16T21:23:21.192884,OFF,0.0,21.187000000000012,0,0.10206,0,0,-273.15,0.0,0,0,0
36,2025-10-16T21:38:23.371277,ON,7.9,20.937000000000012,0,0.10206,0,0,-273.15,0.00020156849999999999,0,0,0
37,2025-10-16T21:53:24.483825,OFF,0.0,21.0,0,0.10206,0,0,-273.15,0.0,0,0,0
38,2025-10-16T22:08:26.709320,ON,147.4,20.875,0,0.09652,0,0,-273.15,0.0035567619999999998,0,0,0
39,2025-10-16T22:23:27.992208,OFF,0.0,21.0,0,0.09652,0,0,-273.15,0.0,0,0,0
40,2025-10-16T22:38:30.141322,ON,0.0,20.875,0,0.09652,0,0,-273.15,0.0,0,0,0
41,2025-10-16T22:53:32.303260,ON,459.6,20.875,0,0.09652,0,0,-273.15,0.011090148,0,0,0
